,ISBN,Title,Author,Publishing Date,Category,Description
104,0205358624,The Evidence-based Social Work Skills Book,Barry Cournoyer,2004,Evidence-based social work,"During the 21st Century, social workers will increasingly use evidence-based knowledge to plan, implement, and evaluate the quality of their own professional activities. This book explores the skills needed for evidence-based social work (EBSW). This book emphasizes the importance of applied practice, critical thinking, and self-directed lifelong learning. Readers will learn the fundamentals of the EBSW skills, practice them to establish beginning proficiency, and then apply them to a target client group of their choosing. Social workers and anyone interested in practicing evidence-based social work."
105,1557344035,"A Guide for Using A Wrinkle in Time in the Classroom, Based on the Book Written by Madeleine L'Engle",John Carratello,1991-09,Activity programs in education,"Teaching literature unit based on the popular children's story, A wrinkle in time."
106,0380720442,Wrinkles in Time,George Smoot,1994-10-01,Science,"Behold the Handwriting of God Astrophysicist and adventurer George Smoot spent twenty years pursuing the ""holy grail of science"" -- a relentless hunt that led him from the rain forests of Brazil to the frozen wastes of Antarctica. For decades he persevered -- struggling against time, the elements, the forces of ignorance and bureaucratic insanity. And finally, on April 23, 1992, he made a startling announcement that would usher in a new scientific age. For George Smoot and his dedicated team of Berkeley researchers had proven the unprovable -- uncovering, inarguably and for all time, the secrets of the creation of the Universe."
107,0821925326,A Wrinkle in Time,Madeleine L'Engle,2002,Science fiction,"Given his lifetime assignment at the Ceremony of Twelve, Jonas becomes the Receiver of Memories, a position shared by only one other in his community, and discovers the terrible truth about the society in which he lives."
108,043927169X,A Wrinkle in Time,Tara McCarthy,2002,Group reading,"A guide to facilitating the discussion of the novel by Madeline L'Engle by students in grades four through eight offers suggestions for identifying themes, analyzing vocabulary, and responding to the text."
109,0606105263,Una arruga en el tiempo,Madeleine L'Engle,1996-01-01,Science fiction,"Meg Murry and her friends become involved with unearthly strangers and a search for Meg's father, who has disappeared while engaged in secret work for the government."
110,0751506435,The Long Shadow,Cynthia Harrod-Eagles,1994,Fiction,"1670: King Charles II's reign has brought peace and prosperity to the Morland family, but James II's ascent to the throne will shatter their restored fortunes. In Yorkshire, Morland Place has flourished during the Restoration, and in London the beautiful and sprited Annunciata, is now Countess of Chelmsford, a wealthy and well-connected woman, intimate with the Royal Family. But storm clouds gather over them all when the reign of James II brings rebellion and discord. Trouble is never far from Annunciata in these turbulent times. Jealousy, betrayal and violent death threaten her children, and for Annunciata herself comes the anguish of love lived in the long shadow of secrecy, a love that can only lead to tragedy."
111,006078671X,A Long Shadow,Charles Todd,2006-01-03,Fiction,"It's New Year's Eve, 1919. Scotland Yard Inspector Ian Rutledge has accompanied his sister to the home of mutual friends for dinner but gets a call from the office and has to leave. On the steps outside, he sees a brass cartridge casing, like countless others he's seen during the war. But this one has an engraving in the metal. Curious, he pockets it. Soon after, Rutledge is on the southern coast of England helping the local police capture a murderer. Work done, on a whim he drives along the cliffs overlooking the Atlantic and takes a walk out on the headland. Returning to his car, he finds another engraved cartridge casing on the driver's seat. He's been followed. The cartridge casing seems to point to the war and unfinished business there. To stay alive in the face of an unknown and unseen adversary, Rutledge is pressed to the limits of his skills. He's the prey. But who is the hunter?"
112,0743499344,Long Way Round,Ewan McGregor,2005-11,Biography & Autobiography,"The popular actors recount their three-month, 20,000-mile motorbike journey from London to New York through three continents and some of the harshest terrain on Earth."
113,0765313405,A Shadow in Summer,Daniel Abraham,2006-03-07,Fiction,"The powerful city-state of Saraykeht is a bastion of peace and culture, a major center of commerce and trade. Its economy depends on the power of the captive spirit, Seedless, an andat bound to the poet-sorcerer Heshai for life. Enter the Galts, a juggernaut of an empire committed to laying waste to all lands with their ferocious army. Saraykeht, though, has always been too strong for the Galts to attack, but now they see an opportunity. If they can dispose of Heshai, Seedless's bonded poet-sorcerer, Seedless will perish and the entire city will fall. With secret forces inside the city, the Galts prepare to enact their terrible plan. In the middle is Otah, a simple laborer with a complex past. Recruited to act as a bodyguard for his girlfriend's boss at a secret meeting, he inadvertently learns of the Galtish plot. Otah finds himself as the sole hope of Saraykeht, either he stops the Galts, or the whole city and everyone in it perishes forever."
114,1400032490,New Hope for the Dead,Charles Willeford,2004-08-10,Fiction,"Miami homicide detective Hoke Moseley is called to a posh Miami neighborhood to investigate a lethal overdose. There he meets the alluring stepmother of the decedant, and begins to wonder about dating a witness. Meanwile, he has been threatened with suspension by his ambitious new chief unless he leaves his beloved, if squalid, suite at the El Dorado Hotel, and moves downtown. With free housing hard to come by, Hoke is desperate to find a new place to live. His difficulties are only amplified by an assignment to re-investigate fifty unsolved murders, the unexpected arrival of his two teenage daughters, and a partner struggling with an unwanted pregnancy. With few options and even fewer dollars, he decides that the suspicious and beautiful stepmother of the dead junkie might be a compromised solution to all of his problems. Packed with atmosphere and humor, New Hope for the Dead is a classic murder mystery by one of the true masters of the genre. Now back in print, Charles Willeford’s tour de force is an irresistible invitation to become acquainted with one of the greatest detective characters of all time."
115,1400032482,Sideswipe,Charles Willeford,2005-03-08,Fiction,"Hoke Moseley has had enough. Tired of struggling against alimony payments, two teenage daughters, a very pregnant, very single partner, and a low paying job as a Miami homicide detective, Hoke moves to Singer Island and vows never step foot on the mainland again. But on the street, career criminal Troy Louden is hatching plans of his own with a gang including a disfigured hooker, a talentless artist, and a clueless retiree. But when his simple robbery results in ruthless and indiscriminate bloodshed, Hoke quickly remembers why he is a cop and hurls himself back into the world he meant to leave behind forever. A masterly tale of both mid-life crisis and murder, Sideswipe is a page-turning thriller packed with laughs, loaded with suspense, and featuring one of the truly original detectives of all time."
